"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE326","fine_clean_low_dim_simulations","K",16,"IBMR",33,4.16450862746766,NA,1,0.0181480020821768,0.0528933954284414,0.244,4.11569815691437,0.0181192349356114,0.0528459817432167,0.2431
"Beta_SSE327","fine_clean_low_dim_simulations","K",16,"IBMR",34,5.34292123231455,NA,1,0.0159740808927921,0.048027337124047,0.2263,5.32442298117112,0.0159220771554052,0.0479363155274216,0.2254
"Beta_SSE328","fine_clean_low_dim_simulations","K",16,"IBMR",35,3.64017194763382,NA,1,0.0165814706879129,0.0519831969266997,0.2731,3.61626783500989,0.0165534802204385,0.0519788986106178,0.2717
"Beta_SSE329","fine_clean_low_dim_simulations","K",16,"IBMR",36,2.62277386537799,NA,1,0.0149861268986616,0.0488940616101284,0.2564,2.61621150665982,0.0149850886161002,0.0488797990057686,0.2556
"Beta_SSE330","fine_clean_low_dim_simulations","K",16,"IBMR",37,3.13695320930055,NA,1,0.0170587970324516,0.0514929219986844,0.2474,2.99228278301222,0.0169600504232286,0.0514000332432933,0.2469
"Beta_SSE331","fine_clean_low_dim_simulations","K",16,"IBMR",38,3.23143349737099,NA,1,0.015295348017797,0.0483973602076803,0.2446,3.21974565404547,0.015295348017797,0.0483973602076803,0.2432
"Beta_SSE332","fine_clean_low_dim_simulations","K",16,"IBMR",39,3.53175491408317,NA,1,0.0162106237677819,0.0499123997888208,0.2431,3.18696544143905,0.0159087107286599,0.0493907149102591,0.2425
"Beta_SSE333","fine_clean_low_dim_simulations","K",16,"IBMR",4,3.88886853957942,NA,1,0.0181812916806609,0.0524033587085944,0.2383,3.71218073891754,0.018025698750703,0.0523361668228365,0.2376
"Beta_SSE334","fine_clean_low_dim_simulations","K",16,"IBMR",40,3.14067075555507,NA,1,0.0162987734285099,0.0517227370450787,0.2646,2.94111151746415,0.016037215949773,0.0510511622228592,0.2639
"Beta_SSE335","fine_clean_low_dim_simulations","K",16,"IBMR",41,3.8804310773696,NA,1,0.0169513581683109,0.051991434054292,0.2483,3.54546293415703,0.0166250434835089,0.0513331550188404,0.2469
"Beta_SSE336","fine_clean_low_dim_simulations","K",16,"IBMR",42,3.31156319254556,NA,1,0.0162431672425232,0.0503789026574155,0.2369,3.29916700621213,0.0162354027412808,0.0503727171884092,0.2362
"Beta_SSE337","fine_clean_low_dim_simulations","K",16,"IBMR",43,3.38875863433605,NA,1,0.0168009230141452,0.0513521618275785,0.2494,3.35970778784697,0.0167874131311149,0.0513213636390672,0.2492
"Beta_SSE338","fine_clean_low_dim_simulations","K",16,"IBMR",44,3.31047317697876,NA,1,0.0158100572868184,0.0511194055412891,0.268,3.11976899672671,0.0156187472429666,0.0507453269429155,0.2668
"Beta_SSE339","fine_clean_low_dim_simulations","K",16,"IBMR",45,3.36664883719087,NA,1,0.0169204078963279,0.0511947767789972,0.2451,3.32080317337796,0.0168839670935512,0.0510197062108412,0.244
"Beta_SSE340","fine_clean_low_dim_simulations","K",16,"IBMR",46,3.84076430796824,NA,1,0.0150570921902084,0.0474682737610549,0.2375,3.65560817143624,0.0149414136811013,0.0473060812471279,0.2362
"Beta_SSE341","fine_clean_low_dim_simulations","K",16,"IBMR",47,3.93874734493944,NA,1,0.0159819130476422,0.049737917615464,0.2483,3.90685444723289,0.0159819130476422,0.049737917615464,0.2476
"Beta_SSE342","fine_clean_low_dim_simulations","K",16,"IBMR",48,2.97232068780619,NA,1,0.0143515775465162,0.0467774274211092,0.2492,2.96396741558534,0.014314752851446,0.0467310598661365,0.2481
"Beta_SSE343","fine_clean_low_dim_simulations","K",16,"IBMR",49,3.95572817324213,NA,1,0.0163756372935147,0.0505238257554623,0.2581,3.94723719345499,0.0162606263107292,0.0503782406041448,0.2573
"Beta_SSE344","fine_clean_low_dim_simulations","K",16,"IBMR",5,3.50848535741616,NA,1,0.0163252985974917,0.0512594761551311,0.2544,3.49776427540277,0.016306212270566,0.0511820324364245,0.2532
"Beta_SSE345","fine_clean_low_dim_simulations","K",16,"IBMR",50,3.44316870691279,NA,1,0.0154131127708099,0.0489733651151311,0.2531,3.44314754059531,0.0154129319742319,0.0489733651151311,0.2524
"Beta_SSE346","fine_clean_low_dim_simulations","K",16,"IBMR",6,3.87150982144283,NA,1,0.0174085443523907,0.0519862863814556,0.2535,3.57708521414617,0.017248540239614,0.0517190138704666,0.253
"Beta_SSE347","fine_clean_low_dim_simulations","K",16,"IBMR",7,3.02158552098505,NA,1,0.0178972146675414,0.0547803312704933,0.2778,2.91952142402349,0.0178122177842175,0.0546645492788702,0.2761
"Beta_SSE348","fine_clean_low_dim_simulations","K",16,"IBMR",8,3.10435811066517,NA,1,0.0156162679274064,0.0497136675162663,0.2478,3.04037621815938,0.0155468198454172,0.0496339552484157,0.2474
"Beta_SSE349","fine_clean_low_dim_simulations","K",16,"IBMR",9,3.11225410634253,NA,1,0.0161215034123975,0.0493603535957715,0.2456,2.99643438587117,0.0159904992737396,0.0490869471172168,0.2449
"Beta_SSE350","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",1,2.77905775231237,NA,1,0.0157018166546097,0.0498498998264791,0.2575,2.77652681106554,0.0156801616512194,0.0498101117134123,0.2563
"Beta_SSE351","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",10,3.14370888819541,NA,1,0.0164671553980831,0.0515892166951543,0.2574,3.12142692935676,0.0164467968467758,0.0515328205124715,0.2562
"Beta_SSE352","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",11,3.98310918478373,NA,1,0.0176315063236386,0.0525320240574569,0.254,3.95322517163642,0.0175890381143642,0.052387815003036,0.2536
"Beta_SSE353","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",12,2.86184480908015,NA,1,0.0142867943396566,0.0483555645054747,0.2707,2.8166602451936,0.0142533210342153,0.048149833664978,0.27
"Beta_SSE354","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",13,3.51760273989133,NA,1,0.0158101109847901,0.0496101159203992,0.2524,3.35024323105784,0.0155804138374126,0.0490335827427512,0.2516
"Beta_SSE355","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",14,3.00054273555769,NA,1,0.0164288514614083,0.0518344990599533,0.2685,2.91035618860942,0.0162800516853698,0.0516238836470668,0.2669
"Beta_SSE356","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",15,3.93236753102712,NA,1,0.017815160413516,0.0521104172768531,0.2331,3.93236753102712,0.0178109559173224,0.0520802422287032,0.2319
"Beta_SSE357","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",16,3.37218627650149,NA,1,0.0159984117604905,0.0506187719428053,0.2545,3.37218627650149,0.0159924333714475,0.0506187719428053,0.2531
"Beta_SSE358","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",17,3.48073189524446,NA,1,0.016018069509882,0.0504119191525442,0.2517,3.4491062823227,0.015998251421038,0.0504013332890379,0.251
"Beta_SSE359","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",18,4.05351090758182,NA,1,0.0170442690651257,0.0506519704218461,0.2427,3.91871845946872,0.0169764954774689,0.0504980084619231,0.2421
"Beta_SSE360","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",19,3.28268890865984,NA,1,0.0175699232757348,0.0534849084174151,0.2718,3.18059736103121,0.0174788824263503,0.0533381766899366,0.2707
"Beta_SSE361","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",2,5.31951982134942,NA,1,0.0171604608099,0.0502372721386196,0.2301,5.30480374364525,0.0171438209442373,0.0502275694732248,0.2295
"Beta_SSE362","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",20,3.86014169159936,NA,1,0.0143070313225406,0.0458265181729771,0.2365,3.7964536264411,0.0142737913451592,0.0457485875486247,0.2346
"Beta_SSE363","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",21,3.49271781740563,NA,1,0.0147570621059297,0.0472093377632696,0.2337,3.49109755403076,0.014738654636096,0.0471836216999366,0.233
"Beta_SSE364","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",22,4.94980338013222,NA,1,0.0165755709565014,0.0502660241767617,0.2446,4.40313023989368,0.0162350021524615,0.0497089904858038,0.2439
"Beta_SSE365","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",23,2.91176251604187,NA,1,0.0154984572680278,0.0498103777920772,0.2538,2.8132978947942,0.0154487971299871,0.0497227805628434,0.2526
"Beta_SSE366","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",24,2.94567613641609,NA,1,0.0179569764720935,0.0544235353088149,0.2668,2.90053737556552,0.0179249529981683,0.0544049316728117,0.2664
"Beta_SSE367","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",25,2.67723083614443,NA,1,0.0147624413230859,0.0483472493290088,0.2555,2.64105384569462,0.0146818745264599,0.048198595461317,0.253
"Beta_SSE368","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",26,3.75756470182752,NA,1,0.0168030997792484,0.0508059840394506,0.2356,3.73477284556034,0.0167895544627589,0.0507945647238836,0.234
"Beta_SSE369","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",27,3.63153718430876,NA,1,0.0158387160742392,0.0485354577939317,0.2384,3.62789685302067,0.0158246042452299,0.0484921078749078,0.2371
"Beta_SSE370","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",28,3.69385249716419,NA,1,0.0135637213584232,0.0453293389859713,0.2534,3.69385249716419,0.0135598284014523,0.0452804938840909,0.2523
"Beta_SSE371","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",29,3.40111755316164,NA,1,0.0164685423253746,0.0512246433394841,0.2502,3.35224484457006,0.0163973696088332,0.0511147993307892,0.2501
"Beta_SSE372","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",3,3.48603343545682,NA,1,0.016181157140092,0.0490382042098717,0.2265,3.37497309746307,0.0159810975643591,0.048572295087642,0.2248
"Beta_SSE373","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",30,4.52431371150991,NA,1,0.0159875651025753,0.0489142341898517,0.2312,4.4924210656596,0.0159496993600111,0.0487717065469415,0.2312
"Beta_SSE374","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",31,3.05658700236076,NA,1,0.0152269439975048,0.048111320251221,0.244,3.00559146330292,0.0152269439975048,0.0480951222328134,0.2418
"Beta_SSE375","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",32,3.12447955492983,NA,1,0.0164011319991049,0.0511891623652879,0.2557,3.04304555463631,0.0163310930552253,0.0509279735603988,0.2545
"Beta_SSE376","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",33,4.16766905798089,NA,1,0.0181081414230071,0.0528382984470332,0.2435,4.12124924258664,0.0180589299377045,0.0527515080073063,0.2431
"Beta_SSE377","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",34,5.33074959742086,NA,1,0.0159844637052154,0.0480243173224388,0.226,5.32711721312877,0.0159393710351164,0.0479442359750621,0.2253
"Beta_SSE378","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",35,3.63266831977282,NA,1,0.0165896413938793,0.0520498501993639,0.2739,3.61585795271125,0.0165339224111333,0.0519182796206379,0.2725
"Beta_SSE379","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",36,2.62619684697076,NA,1,0.0150422234915091,0.0489270095695456,0.2568,2.61671428305824,0.0150231741685022,0.0489089018621354,0.2561
"Beta_SSE380","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",37,3.13679368732766,NA,1,0.0170585699022005,0.0514926414503559,0.2474,2.99205770101768,0.0169600086904716,0.0513997773860366,0.2467
"Beta_SSE381","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",38,3.26452518668812,NA,1,0.0153279790314323,0.0484408935073018,0.2443,3.21970504579084,0.0152978767579377,0.048421615373596,0.2429
"Beta_SSE382","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",39,3.59095714074933,NA,1,0.0162798360148346,0.0501055680366633,0.2441,3.22474109874548,0.0159974573487798,0.0495379089684788,0.2427
"Beta_SSE383","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",4,3.83812911128873,NA,1,0.0182089025792272,0.0525597567813613,0.2392,3.71664310708299,0.0181271546291331,0.0525157742528093,0.2383
"Beta_SSE384","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",40,3.11257688668845,NA,1,0.0162349248719671,0.0516004820955883,0.2644,2.9541918597815,0.0160362813668627,0.0510478816046974,0.264
"Beta_SSE385","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",41,3.85545606386181,NA,1,0.0168847947890679,0.0519001483414596,0.2487,3.54487530596849,0.0166241130473163,0.0513313728122193,0.2469
"Beta_SSE386","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",42,3.30323942368687,NA,1,0.0162425468892464,0.0503963903257659,0.2374,3.30323942368687,0.0162400812951741,0.0503777567426555,0.2362
"Beta_SSE387","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",43,3.38907419334099,NA,1,0.0168006850640201,0.0513518082848824,0.2493,3.34509242589351,0.0167493634491536,0.0512754040641673,0.2486
"Beta_SSE388","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",44,3.2580567820524,NA,1,0.0157589263381442,0.0510134580385002,0.2679,3.11961927227357,0.0156186132678872,0.050745489133686,0.2667
"Beta_SSE389","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",45,3.36558185472578,NA,1,0.0169198414643292,0.0511925919352418,0.2451,3.3200270537556,0.0168834754363756,0.0510187899738868,0.2435
"Beta_SSE390","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",46,3.87945932696783,NA,1,0.0150923070397151,0.0475417813536961,0.2374,3.78902329110499,0.0150046825942099,0.0473722448710144,0.2367
"Beta_SSE391","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",47,3.92796406144437,NA,1,0.0159838921474808,0.0497530232696594,0.2487,3.91334025074341,0.015969259986892,0.0497368640592155,0.2477
"Beta_SSE392","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",48,2.96402371404548,NA,1,0.0143197308877032,0.046733194852394,0.249,2.96402371404548,0.0143168627034348,0.0467330621924495,0.248
"Beta_SSE393","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",49,3.94765754833907,NA,1,0.0162767589762782,0.0504341490405,0.2584,3.94752039414781,0.0162678733724099,0.0504083185133509,0.2575
"Beta_SSE394","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",5,3.50850322882589,NA,1,0.0165540654708107,0.0516308246249466,0.2535,3.49579905414803,0.016298067774707,0.0511656558799041,0.2528
"Beta_SSE395","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",50,3.44291913527168,NA,1,0.015413082435757,0.0489733409728004,0.2531,3.44261317119496,0.0154123014523321,0.0489722074219062,0.2525
"Beta_SSE396","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",6,3.82178925612269,NA,1,0.0173746294839432,0.0519230349951744,0.2534,3.56222279526029,0.0172402525174805,0.0517065949822106,0.2524
"Beta_SSE397","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",7,3.01811359462829,NA,1,0.017899799023752,0.0547766754298329,0.2774,2.95869860625271,0.017830961186834,0.0546842529926507,0.2769
"Beta_SSE398","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",8,3.07901047330435,NA,1,0.0155777934480008,0.0496513140732186,0.2479,3.03962740789948,0.0155460425063265,0.0496338039856518,0.2472
"Beta_SSE399","fine_clean_low_dim_simulations","K",16,"IBMR_common_Gamma",9,3.09550967427294,NA,1,0.0161051798932015,0.0493250272434311,0.2459,2.99626282492449,0.0159853324044253,0.0490785021783616,0.2441
"Beta_SSE400","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",1,2.7764375889331,NA,1,0.0156801739056362,0.049809691631658,0.2574,2.7764375889331,0.0156801739056362,0.049809691631658,0.2564
"Beta_SSE401","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",10,3.12373910685452,NA,1,0.0164503951035847,0.0515445120698519,0.2573,3.12373910685452,0.0164503951035847,0.0515445120698519,0.2564
"Beta_SSE402","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",11,4.07294087118966,NA,1,0.0176668867169543,0.0526568860200861,0.2541,3.95277496510563,0.0175878321378087,0.0523863292874672,0.254
"Beta_SSE403","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",12,2.90887041750757,NA,1,0.0143243058062938,0.0484905061247528,0.2703,2.81667551389958,0.014254019466031,0.0481692117317121,0.2703
"Beta_SSE404","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",13,3.43724035660816,NA,1,0.0156906646369592,0.0493276351235285,0.2533,3.35037361208065,0.0155841396389139,0.0490497595570809,0.2525
"Beta_SSE405","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",14,3.000796504424,NA,1,0.0164291532284421,0.0518350280244904,0.2685,2.91051044476056,0.0162806813720997,0.0516250926807343,0.268
"Beta_SSE406","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",15,3.94876054751802,NA,1,0.0178109406082543,0.052080443698079,0.2331,3.94876054751802,0.0178109406082543,0.052080443698079,0.2325
"Beta_SSE407","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",16,3.37452473685083,NA,1,0.0159930132013839,0.0506253557166056,0.2545,3.37452473685083,0.0159930132013839,0.0506253557166056,0.2545
"Beta_SSE408","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",17,3.48159797741021,NA,1,0.0160190271248478,0.0504134143380726,0.2517,3.44944531986685,0.0159989552134453,0.0504081659166205,0.2513
"Beta_SSE409","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",18,4.17875329768832,NA,1,0.0171293264738501,0.0508400889124404,0.2428,3.92156206006193,0.0169768231432821,0.0504985754444839,0.2421
"Beta_SSE410","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",19,3.28545460688809,NA,1,0.0175725595704747,0.0534897844915988,0.2718,3.18571354296139,0.0174835150728589,0.0533395280549328,0.2717
"Beta_SSE411","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",2,5.31416909406361,NA,1,0.0171641461153184,0.0502710738041073,0.2298,5.31416909406361,0.0171630402248231,0.0502710738041073,0.2297
"Beta_SSE412","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",20,3.86146936909916,NA,1,0.0143079426023113,0.0458283713389256,0.2365,3.8160877750714,0.0143079426023113,0.0458199311646238,0.2363
"Beta_SSE413","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",21,3.4919886132245,NA,1,0.0147759972362317,0.0472388905814347,0.2338,3.4919886132245,0.0147464232889906,0.0472007916227787,0.2336
"Beta_SSE414","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",22,5.14009094681364,NA,1,0.0167158342966705,0.0505345108828315,0.2449,4.41434314348305,0.0162358103712105,0.0497121898198993,0.2441
"Beta_SSE415","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",23,2.86056695532062,NA,1,0.0155663643489348,0.0498877712006305,0.2539,2.82526446722352,0.0155448727250945,0.0498799820837217,0.2533
"Beta_SSE416","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",24,2.96496884739452,NA,1,0.0179741433969655,0.0544467597577739,0.2667,2.90751502899843,0.0179331395236351,0.0544467597577739,0.2667
"Beta_SSE417","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",25,2.71402858537855,NA,1,0.0149867393202041,0.0487215006695916,0.2562,2.69849807141529,0.0149729752849724,0.0486847759526116,0.2544
"Beta_SSE418","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",26,3.73916613554591,NA,1,0.0167912175880845,0.0507969373991528,0.2354,3.73916613554591,0.0167912175880845,0.0507969373991528,0.2348
"Beta_SSE419","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",27,3.64901341250791,NA,1,0.0158612963362957,0.0485302462853794,0.2378,3.6377870461581,0.0158532205729772,0.0485226752542742,0.2375
